,hotel_star,hotel_address,reviews_count,quality
0,,,,
1,4,damrak96amsterdamcitycenter1012lpamsterdamnetherlands,"1,896 reviews",Excellent 
2,4,dam9amsterdamcitycenter1012jsamsterdamnetherlands,181 reviews,Very Good 
3,4,damrak9394amsterdamcitycenter1012lpamsterdamnetherlands,"1,799 reviews",Good 
4,4,nieuwezijdsvoorburgwal176180amsterdamcitycenter1012sjamsterdamnetherlands,"1,728 reviews",Very Good 
5,4,nes49amsterdamcitycenter1012kdamsterdamnetherlands,"1,170 reviews",Excellent 
6,4,nieuwenieuwstraat17amsterdamcitycenter1012ngamsterdamnetherlands,899 reviews,Very Good 
7,4,nieuwezijdsvoorburgwal67amsterdamcitycenter1012reamsterdamnetherlands,949 reviews,Excellent 
8,4,nieuwezijdsvoorburgwal100amsterdamcitycenter1012sgamsterdamnetherlands,"2,414 reviews",Very Good 
9,4,nieuwezijdskolk19amsterdamcitycenter1012pvamsterdamnetherlands,"4,608 reviews",Very Good 
10,4,83singelamsterdamcitycenter1012veamsterdamnetherlands,676 reviews,Wonderful 
11,4,rusland17amsterdamcitycenter1012ckamsterdamnetherlands,"4,380 reviews",Very Good 
12,4,herengracht255amsterdamcitycenter1016bjamsterdamnetherlands,786 reviews,Excellent 
13,4,singel303309amsterdamcitycenter1012wjamsterdamnetherlands,"3,415 reviews",Wonderful 
14,4,spuistraat288292amsterdamcitycenter1012vxamsterdamnetherlands,"4,008 reviews",Very Good 
15,4,monnikenstraat19amsterdamcitycenter1012bpamsterdamnetherlands,308 reviews,Wonderful 
16,4,23singelamsterdamcitycenter1012vcamsterdamnetherlands,91 reviews,Excellent 
17,4,herengracht341amsterdamcitycenter1016azamsterdamnetherlands,842 reviews,Wonderful 
18,4,keizersgracht164amsterdamcitycenter1015czamsterdamnetherlands,997 reviews,Wonderful 
20,4,damrak15amsterdamcitycenter1012lgamsterdamnetherlands,"7,006 reviews",Very Good 
21,4,prinshendrikkade33amsterdamcitycenter1012tmamsterdamnetherlands,"1,709 reviews",Very Good 
22,4,keizersgracht304amsterdamcitycenter1016examsterdamnetherlands,843 reviews,Good 
23,4,geldersekade30amsterdamcitycenter1012bjamsterdamnetherlands,"5,643 reviews",Excellent 
24,4,vijzelstraat4amsterdamcitycenter1017hkamsterdamnetherlands,"4,885 reviews",Very Good 
25,4,rozenstraat12amsterdamcitycenter1016nxamsterdamnetherlands,"2,350 reviews",Very Good 
26,4,amstel144amsterdamcitycenter1017daamsterdamnetherlands,"4,103 reviews",Very Good 
