,hotel_star,hotel_address,reviews_count,quality
0,,,,
1,4,plazadecatalua10eixample08002barcelonaspain,"2,287 reviews",Excellent 
2,4,plazadecatalunya19ciutatvella08002barcelonaspain,"2,135 reviews",Wonderful 
3,4,bergara11eixample08002barcelonaspain,"2,826 reviews",Very Good 
4,4,bergara8eixample08002barcelonaspain,"1,288 reviews",Excellent 
5,4,rondasantpere9eixample08010barcelonaspain,"1,154 reviews",Wonderful 
6,4,bergara24eixample08002barcelonaspain,"2,126 reviews",Excellent 
7,4,ramblacatalunya79eixample08007barcelonaspain,"1,510 reviews",Excellent 
8,4,rondadelauniversitatn18eixample08007barcelonaspain,"2,506 reviews",Very Good 
10,4,valaietana69ciutatvella08003barcelonaspain,"2,365 reviews",Excellent 
11,4,pelai28ciutatvella08002barcelonaspain,"2,817 reviews",Very Good 
12,4,lasramblas117ciutatvella08002barcelonaspain,"3,010 reviews",Very Good 
13,4,plaaurquinaona2eixample08010barcelonaspain,"1,518 reviews",Excellent 
14,4,granvia605eixample08007barcelonaspain,"5,332 reviews",Very Good 
15,4,larambla128ciutatvella08002barcelonaspain,"2,709 reviews",Good 
16,4,granviadelescortscatalanes644eixample08007barcelonaspain,"1,857 reviews",Wonderful 
17,4,pelayo14ciutatvella08001barcelonaspain,"1,133 reviews",Excellent 
18,4,magdalenes1315ciutatvella08002barcelonaspain,"1,135 reviews",Wonderful 
19,4,larambla109ciutatvella08002barcelonaspain,"2,230 reviews",Excellent 
20,4,rogerdelluria1618eixample08010barcelonaspain,"6,706 reviews",Very Good 
21,4,rogerdellria17eixample08010barcelonaspain,"1,347 reviews",Excellent 
22,4,granviacortscatalanes656eixample08010barcelonaspain,"1,802 reviews",Very Good 
23,4,rondadelauniversitat1eixample08007barcelonaspain,"1,431 reviews",Excellent 
24,4,elisabets11ciutatvella08001barcelonaspain,915 reviews,Exceptional 
25,4,diputaci257eixample08007barcelonaspain,"2,445 reviews",Good 
26,4,diputacion250eixample08007barcelonaspain,"1,702 reviews",Very Good 
27,4,pintorfortuny13ciutatvella08001barcelonaspain,"2,440 reviews",Very Good 
28,4,rogerdelluria28eixample08010barcelonaspain,762 reviews,Very Good 
29,4,rogerdelluria21esqgranvia662eixample08037barcelonaspain,"2,217 reviews",Excellent 
32,4,carrerdeladiputaci234236eixample08007barcelonaspain,363 reviews,Good 
33,4,carrerdeldoctorjoaquimpouciutatvella08002barcelonaspain,"1,673 reviews",Wonderful 
34,4,diputaci262264eixample08007barcelonaspain,958 reviews,Excellent 
35,4,rondasantpere32eixample08010barcelonaspain,"2,612 reviews",Excellent 
36,4,capellans4ciutatvella08002barcelonaspain,"2,458 reviews",Excellent 
37,4,vialaietana42ciutatvella08003barcelonaspain,"3,011 reviews",Good 
38,4,26carrerdetrafalgarciutatvella08003barcelonaspain,"1,089 reviews",Wonderful 
39,4,lasramblas108ciutatvella08002barcelonaspain,449 reviews,Very Good 
40,4,avingudacatedral7ciutatvella08002barcelonaspain,"1,532 reviews",Excellent 
41,4,rogerdelluria403rdto7thflooreixample08009barcelonaspain,682 reviews,Excellent 
42,4,paseodegracia46eixample08007barcelonaspain,476 reviews,Wonderful 
43,4,calleausiasmarch25eixample08010barcelonaspain,678 reviews,Excellent 
44,4,rondasantantoni84ciutatvella08001barcelonaspain,283 reviews,Wonderful 
45,4,granviadelescortscatalanes678eixample08010barcelonaspain,"3,976 reviews",Very Good 
46,4,granvadelescortscatalanes647eixample08010barcelonaspain,"2,386 reviews",Very Good 
47,4,boquera10ciutatvella08002barcelonaspain,"2,897 reviews",Very Good 
48,4,rogerdellria60eixample08009barcelonaspain,"2,047 reviews",Very Good 
49,4,ausismarc34eixample08010barcelonaspain,"2,252 reviews",Excellent 
50,4,seplveda180eixample08011barcelonaspain,"1,177 reviews",Excellent 
51,4,carrerdearag271eixample08007barcelonaspain,"3,117 reviews",Excellent 
52,4,diputaci195eixample08011barcelonaspain,609 reviews,Very Good 
53,4,granvadelescortscatalanes570eixample08011barcelonaspain,"3,931 reviews",Good 
54,4,vialaietana24ciutatvella08003barcelonaspain,"1,398 reviews",Excellent 
