,hotel_star,hotel_address,reviews_count,quality
0,,,,
1,4,8northumberlandavenuewestminsterboroughlondonwc2n5byunitedkingdom,"4,830 reviews",Very Good 
3,4,1821northumberlandavewestminsterboroughlondonwc2n5eaunitedkingdom,"2,927 reviews",Very Good 
4,4,thestrandwestminsterboroughlondonwc2n5hxunitedkingdom,"3,608 reviews",Excellent 
5,4,78saintmartinsplacewestminsterboroughlondonwc2n4jhunitedkingdom,"2,692 reviews",Wonderful 
6,4,whitcombstreettrafalgarsquarewestminsterboroughlondonwc2h7hgunitedkingdom,"2,389 reviews",Very Good 
7,4,51bedfordstreetwestminsterboroughlondonwc2r0pzunitedkingdom,"1,661 reviews",Wonderful 
8,4,39coventrystreetwestminsterboroughlondonw1d6bzunitedkingdom,"2,427 reviews",Very Good 
9,4,1leicestersquarewestminsterboroughlondonwc2h7naunitedkingdom,"1,021 reviews",Good 
10,4,14leicesterplacewestminsterboroughlondonwc2h7bzunitedkingdom,"1,967 reviews",Good 
11,4,11adamstreetcoventgardenwestminsterboroughlondonwc2r0daunitedkingdom,"2,970 reviews",Wonderful 
12,4,14henriettastreetwestminsterboroughlondonwc2e8qhunitedkingdom,560 reviews,Wonderful 
13,4,372strandwestminsterboroughlondonwc2r0jjunitedkingdom,"8,683 reviews",Very Good 
14,4,81jermynstreetwestminsterboroughlondonsw1y6jfunitedkingdom,"1,788 reviews",Very Good 
15,4,20mercerstreetcoventgardencamdenlondonwc2h9hdunitedkingdom,"2,846 reviews",Excellent 
16,4,146strandwestminsterboroughlondonwc2r1jdunitedkingdom,184 reviews,Excellent 
17,4,5657frithstreetwestminsterboroughlondonw1d3jgunitedkingdom,"2,189 reviews",Good 
18,4,6frithstreetsohowestminsterboroughlondonw1d3jaunitedkingdom,812 reviews,Wonderful 
19,4,4broadcourtbowstreetcoventgardenwestminsterboroughlondonwc2b5qzunitedkingdom,"3,149 reviews",Very Good 
20,4,3443russellstreetwestminsterboroughlondonwc2b5snunitedkingdom,905 reviews,Very Good 
21,4,6cassonsquarelambethlondonse17gtunitedkingdom,42 reviews,Wonderful 
22,4,10carlislestreetwestminsterboroughlondonw1d3brunitedkingdom,"1,715 reviews",Excellent 
23,4,countyhall1bsouthblockbelvedereroadflatlambethlondonse17geunitedkingdom,15 reviews,Very Good 
24,4,3739kingswaywestminsterboroughlondonwc2b6tpunitedkingdom,"1,428 reviews",Excellent 
25,4,westminsterbridgeroadlambethlondonse17utunitedkingdom,"19,940 reviews",Very Good 
26,4,1addingtonstreetlambethlondonse17ryunitedkingdom,"5,597 reviews",Excellent 
27,4,2caxtonstreetwestminsterboroughlondonsw1h0qwunitedkingdom,597 reviews,Wonderful 
28,4,199206highholborncamdenlondonwc1v7bdunitedkingdom,"1,416 reviews",Excellent 
29,4,913bloomsburystreetnrcoventgardencamdenlondonwc1b3qdunitedkingdom,"2,212 reviews",Very Good 
30,4,97greatrussellstreetbloomsburycamdenlondonwc1b3lbunitedkingdom,"2,366 reviews",Very Good 
31,4,61lincolnsinnfieldscamdenlondonwc2a3jwunitedkingdom,"2,742 reviews",Very Good 
32,4,bloomsburywaycamdenlondonwc1a2sdunitedkingdom,"2,569 reviews",Very Good 
34,4,5curzonstwestminsterboroughlondonw1j5hlunitedkingdom,728 reviews,Pleasant 
35,4,25lowermarshlambethlondonse17rjunitedkingdom,"5,190 reviews",Very Good 
36,4,100lowermarshlambethlondonse17abunitedkingdom,"2,161 reviews",Excellent 
37,4,1113bayleystreetbedfordsquarecamdenlondonwc1b3hdunitedkingdom,"1,539 reviews",Good 
38,4,9499highholborncamdenlondonwc1v6lfunitedkingdom,"1,645 reviews",Good 
39,4,44curzonstreetwestminsterboroughlondonw1j7ugunitedkingdom,286 reviews,Very Good 
40,4,111westminsterbridgeroadlambethlondonse17hrunitedkingdom,"5,464 reviews",Good 
41,4,35charlesstreetmayfairwestminsterboroughlondonw1j5ebunitedkingdom,"2,227 reviews",Excellent 
42,4,30rathbonestreetwestendwestminsterboroughlondonw1t1lbunitedkingdom,871 reviews,Excellent 
43,4,3940bedfordplacebloomsburycamdenlondonwc1b5jtunitedkingdom,415 reviews,Good 
44,4,10palaceplacewestminsterboroughlondonsw1e5bwunitedkingdom,"1,397 reviews",Wonderful 
45,4,6herculesroadlambethlondonse17dpunitedkingdom,"5,525 reviews",Very Good 
46,4,25montaguestreetbloomsburycamdenlondonwc1b5buunitedkingdom,"1,243 reviews",Pleasant 
47,4,3437bedfordplacebloomsburycamdenlondonwc1b5jrunitedkingdom,"1,361 reviews",Good 
48,4,7montaguestreetbloomsburycamdenlondonwc1b5bpunitedkingdom,562 reviews,Good 
49,4,15montaguestbloomsburycamdenlondonwc1b5bjunitedkingdom,"1,975 reviews",Wonderful 
50,4,1315gowerstreetcamdenlondonwc1e6heunitedkingdom,"1,116 reviews",Excellent 
51,4,2427bedfordplacebloomsburycamdenlondonwc1b5jhunitedkingdom,"1,500 reviews",Good 
52,4,92southamptonrowcamdenlondonwc1b4bhunitedkingdom,"2,374 reviews",Good 
53,4,12serjeantsinnfleetstreetcityoflondonlondonec4y1agunitedkingdom,"3,454 reviews",Excellent 
54,4,20hertfordstreetwestminsterboroughlondonw1j7rsunitedkingdom,35 reviews,Good 
55,4,2931gowerstreetcamdenlondonwc1e6hgunitedkingdom,"2,365 reviews",Pleasant 
56,4,8395southamptonrowcamdenlondonwc1b4hdunitedkingdom,1 review,Good 
57,4,113lambethrdlambethlondonse17lsunitedkingdom,"2,132 reviews",Good 
58,4,130134southamptonrowcamdenlondonwc1b5afunitedkingdom,"1,178 reviews",Good 
59,4,21tottenhamstreetcamdenlondonw1t2awunitedkingdom,525 reviews,Very Good 
60,4,1415langhamplacewestminsterboroughlondonw1b2qsunitedkingdom,775 reviews,Excellent 
61,4,71vincentsquarewestminsterboroughlondonsw1p2paunitedkingdom,"2,223 reviews",Very Good 
62,4,30johnislipstwestminsterboroughlondonsw1p4ddunitedkingdom,"3,128 reviews",Very Good 
63,4,69vincentsquarewestminsterboroughlondonsw1p2paunitedkingdom,"1,313 reviews",Good 
64,4,46blackfriarsroadsouthwarklondonse18nzunitedkingdom,"2,498 reviews",Very Good 
65,4,3135langhamstreetwestminsterboroughlondonw1w6buunitedkingdom,"2,310 reviews",Good 
66,4,40blackfriarsroadsouthwarklondonse18pbunitedkingdom,"1,562 reviews",Excellent 
67,4,4norwichstreetcityoflondonlondonec4a1drunitedkingdom,301 reviews,Excellent 
68,4,292vauxhallbridgeroadlondonsw1v1aewestminsterboroughlondonsw1v1aeunitedkingdom,887 reviews,Excellent 
69,4,350oxfordstreetwestminsterboroughlondonw1c1byunitedkingdom,"2,997 reviews",Very Good 
70,4,75gowerstreetcamdenlondonwc1e6hjunitedkingdom,"1,643 reviews",Pleasant 
71,4,newcavendishstreetwestminsterboroughlondonw1w6ysunitedkingdom,144 reviews,Very Good 
72,4,1neathouseplacewestminsterboroughlondonsw1v1lhunitedkingdom,,
73,4,239vauxhallbridgeroadwestminsterboroughlondonsw1v1equnitedkingdom,"3,045 reviews",Very Good 
75,4,284to302waterlooroadsouthwarklondonse18rqunitedkingdom,"4,753 reviews",Very Good 
76,4,174tottenhamcourtroadcamdenlondonw1t7ntunitedkingdom,419 reviews,Very Good 
77,4,1011albertembankmentlambethlondonse17tpunitedkingdom,985 reviews,Excellent 
78,4,3851bedfordwaycamdenlondonwc1h0dgunitedkingdom,121 reviews,Very Good 
79,4,101buckinghampalaceroadwestminsterboroughlondonsw1w0sjunitedkingdom,"3,583 reviews",Excellent 
80,4,7284lambsconduitstreetcamdenlondonwc1n3ltunitedkingdom,805 reviews,Very Good 
81,4,18albertembankmentlambethlondonse17tjunitedkingdom,"8,662 reviews",Very Good 
83,4,2bridgeplacevictoriawestminsterboroughlondonsw1v1qaunitedkingdom,"2,431 reviews",Good 
84,4,coramstreetcamdenlondonwc1n1htunitedkingdom,"2,151 reviews",Good 
85,4,28eburystreetwestminsterboroughlondonsw1w0luunitedkingdom,"1,237 reviews",Very Good 
86,4,100vauxhallwalklambethlondonse115alunitedkingdom,851 reviews,Excellent 
87,4,2028bolsoverstreetwestminsterboroughlondonw1w5nbunitedkingdom,"2,668 reviews",Good 
88,4,84hattongardencamdenlondonec1n8jrunitedkingdom,893 reviews,Very Good 
89,4,mandevilleplacewestminsterboroughlondonw1u2beunitedkingdom,"2,271 reviews",Very Good 
