,hotel_star,hotel_address,reviews_count,quality
0,,,,
1,4,piazzaduomoangolovia,313 reviews,Wonderful 
2,4,viamazzini4milan,987 reviews,Very Good 
3,4,silviopellico4milan,"2,247 reviews",Wonderful 
4,4,viaspadari1milan,"1,870 reviews",Excellent 
5,4,viaspadari11milan,950 reviews,Wonderful 
7,4,4piazzasantamaria,118 reviews,Wonderful 
8,4,viasantaradegonda14,715 reviews,Wonderful 
9,4,viahoepli6milan,"1,164 reviews",Very Good 
10,4,viaclerici11milan,677 reviews,Excellent 
11,4,viaagnello2milan,154 reviews,Wonderful 
12,4,piazzagiuseppemissori1,"5,378 reviews",Good 
13,4,viaalbricci24,"2,744 reviews",Very Good 
14,4,viasantamarta4,53 reviews,Very Good 
15,4,viabaracchini12milan,772 reviews,Very Good 
16,4,viasanpaolo13,"2,135 reviews",Excellent 
18,4,viaadalbertocatena2,"2,182 reviews",Excellent 
19,4,piazzafontana3milan,"3,160 reviews",Very Good 
20,4,viasantomaso6,555 reviews,Wonderful 
21,4,viasantomaso8,375 reviews,Very Good 
22,4,2viagiorgiogiulini,267 reviews,Very Good 
23,4,22corsovittorioemanuele,648 reviews,Excellent 
25,4,viacamperio9milan,754 reviews,Excellent 
26,4,viadellorso7,957 reviews,Very Good 
27,4,viasanpietroall,148 reviews,Very Good 
28,4,viamorigi2milan,621 reviews,Very Good 
29,4,11acorsoitalia,580 reviews,Very Good 
30,4,viacusani13milan,"2,147 reviews",Very Good 
31,4,viadurini2milan,879 reviews,Excellent 
32,4,viasantasofia10,"4,660 reviews",Very Good 
33,4,viasantospirito20,688 reviews,Wonderful 
34,4,corsomagenta19milan,"1,218 reviews",Good 
35,4,corsodiportaromana,"2,068 reviews",Good 
36,4,viacesarecorrenti13,"1,441 reviews",Very Good 
37,4,viasantacecilia4,"1,430 reviews",Excellent 
38,4,viasenato22milan,592 reviews,Very Good 
39,4,viafatebenefratelli21milan,"2,235 reviews",Very Good 
40,4,corsomonforte27milan,929 reviews,Excellent 
41,4,viamanin7milan,"2,694 reviews",Excellent 
42,4,corsodiportavigentina,"2,375 reviews",Very Good 
43,4,vialebiancamaria4,"2,784 reviews",Very Good 
44,4,piazzaxxivmaggio8,451 reviews,Excellent 
45,4,vialebligny23milan,"1,334 reviews",Very Good 
46,4,viatarchetti2milan,"3,770 reviews",Very Good 
47,4,5viaascaniosforza,,
48,4,viapietrocalvi32,"1,135 reviews",Very Good 
49,4,alzaianavigliogrande8,646 reviews,Wonderful 
50,4,viaspartaco12,348 reviews,Wonderful 
51,4,vialepiave42milan,218 reviews,Good 
52,4,vialazzaretto5central,620 reviews,Very Good 
53,4,viagalileogalilei2,"1,565 reviews",Very Good 
54,4,viapanfilocastaldi7,803 reviews,Pleasant 
55,4,piazzaoberdan12milan,499 reviews,Very Good 
56,4,viapietroorseolo1,913 reviews,Very Good 
57,4,piazzaleprincipessaclotilde10,"1,527 reviews",Excellent 
58,4,corsobuenosaires3,"3,726 reviews",Very Good 
59,4,vialemontegrappa12,"1,207 reviews",Good 
60,4,vialazzaropalazzi18,"2,063 reviews",Very Good 
61,4,vialmuratori14,"1,426 reviews",Very Good 
63,4,viacarlodecristoforis,"2,203 reviews",Excellent 
64,4,viasavona18navigli,333 reviews,Excellent 
65,4,viafelicecasati18,"1,415 reviews",Very Good 
66,4,viacarlogoldoni31,828 reviews,Excellent 
67,4,viaadetocqueville,"1,192 reviews",Excellent 
68,4,33viacarlogoldoni,76 reviews,Excellent 
69,4,viafabiofilzi3,"3,023 reviews",Very Good 
70,4,viaangelocarlofumagalli,"3,302 reviews",Very Good 
71,4,viaspallanzani40central,"2,973 reviews",Very Good 
72,4,viaascaniosforza55,314 reviews,Excellent 
73,4,viamauromacchi1,"2,291 reviews",Very Good 
74,4,viamessina10sempione,"2,123 reviews",Very Good 
76,4,viagianbattistapirelli,"1,153 reviews",Very Good 
77,4,viacimarosa6fiera,514 reviews,Very Good 
78,4,corsobuenosaires42,"1,376 reviews",Very Good 
79,4,viatazzoli2garibaldi,819 reviews,Very Good 
80,4,vialeisonzo14porta,"3,810 reviews",Very Good 
81,4,vianapotorriani24,"3,318 reviews",Very Good 
82,4,vianapotorriani29,"2,960 reviews",Very Good 
83,4,viarobertolepetit15,"1,608 reviews",Very Good 
84,4,vianapotorriani28,37 external reviews,Pleasant 6.2
85,4,viagbpirelli,"1,766 reviews",Very Good 
86,4,viagbpirelli,"2,989 reviews",Wonderful 
88,4,viafabiofilzi25,"3,618 reviews",Very Good 
89,4,piazzaducadaosta,"3,160 reviews",Very Good 
90,4,8piazzaducad,"2,891 reviews",Very Good 
91,4,32viavitruviocentral,780 reviews,Wonderful 
92,4,vialeisonzo2porta,"1,408 reviews",Very Good 
93,4,piazzalima2central,"4,594 reviews",Very Good 
94,4,viageneralegustavofara,"2,186 reviews",Excellent 
95,4,vialuigigalvani12,"1,082 reviews",Very Good 
96,4,viaozanam12central,498 reviews,Very Good 
97,4,viatiziano6fiera,"1,711 reviews",Excellent 
98,4,viadomenicoscarlatti24,"1,976 reviews",Very Good 
99,4,viadomenicoscarlatti32,700 reviews,Very Good 
100,4,4viadomenicoscarlatti,18 reviews,Very Good 
101,4,viabrembo29ripamonti,463 reviews,Very Good 
102,4,viatortona35navigli,"2,234 reviews",Very Good 
103,4,vialeandreadoria4,"2,212 reviews",Excellent 
104,4,viawashington66fiera,489 reviews,Good 
105,4,piazzaquattronovembre3,"6,118 reviews",Excellent 
106,4,piazzaluigidisavoia,"1,904 reviews",Very Good 
107,4,piazzamichelangelobuonarroti31,19 reviews,Wonderful 
109,4,viaugobassi1,"1,843 reviews",Good 
110,4,viambuonarroti13,637 reviews,Good 
111,4,viamauromacchi49,327 reviews,Wonderful 
112,4,viaprivataleopoldogasparotto,"1,968 reviews",Very Good 
113,4,viapoliziano11sempione,824 reviews,Very Good 
114,4,viadomodossola16fiera,669 reviews,Good 
115,4,vialaspezia25,"1,829 reviews",Excellent 
116,4,vialeandreadoria22,"3,792 reviews",Very Good 
117,4,largoriodejaneiro,"1,038 reviews",Very Good 
118,4,viamelchiorregioia73,"1,458 reviews",Very Good 
119,4,viagiovannibattistafauch,"1,648 reviews",Very Good 
120,4,viamauromacchi79,930 reviews,Wonderful 
121,4,corsosempione69fiera,977 reviews,Very Good 
122,4,11avialampedusa,,
123,4,viabartolomeocolleoni14,761 reviews,Excellent 
124,4,corsosempione91fiera,"2,772 reviews",Very Good 
125,4,viagsilva12,"1,813 reviews",Very Good 
126,4,viarubens21san,"1,445 reviews",Very Good 
127,4,viagiacomowatt13,817 reviews,Good 
128,4,viacagliero14a,429 reviews,Excellent 
129,4,99vialecorsicap,176 reviews,Excellent 
130,4,24vialeedoardojenner,"4,057 reviews",Very Good 
131,4,vialelombardia7476,"1,569 reviews",Good 
132,4,viamonterosa90,829 reviews,Good 
133,4,viamurat21niguarda,"1,320 reviews",Good 
134,4,viagarimondi12,"1,462 reviews",Good 
135,4,viaenricoannibalebutti,460 reviews,Good 
136,4,piazzalotto14fiera,559 reviews,Very Good 
137,4,viadellagiustizia10,"2,396 reviews",Good 
139,4,viaaugustoosimo10,234 reviews,Pleasant 
140,4,vialecertosa68certosa,613 reviews,Wonderful 
141,4,viapietrogaggia3,"3,230 reviews",Good 
142,4,vialodovicoilmoro,991 reviews,Good 
143,4,vialesuzzani13bicocca,"2,440 reviews",Good 
144,4,viamecenate8920138,690 reviews,Excellent 
145,4,vialemonza13220127,765 reviews,Very Good 
146,4,viafeltre19b,811 reviews,Excellent 
147,4,vialecertosa104106,815 reviews,Very Good 
148,4,vialecertosa108certosa,"1,773 reviews",Very Good 
149,4,vialesarca90bicocca,"1,760 reviews",Very Good 
150,4,viastamiradancona,"2,702 reviews",Very Good 
151,4,viagiovanninicotera9,"2,382 reviews",Very Good 
152,4,viavillapizzone24certosa,"3,432 reviews",Very Good 
153,4,viavaresina124certosa,"2,149 reviews",Excellent 
154,4,vialudovicodibreme,904 reviews,Good 
155,4,viamecenate12120138,"3,076 reviews",Good 
156,4,96viabisceglielorenteggio,"2,790 reviews",Very Good 
157,4,vialorenteggio278,"2,079 reviews",Very Good 
158,4,viapalmanova15320132,656 reviews,Pleasant 
159,4,viaflumendosa3520132,"1,777 reviews",Very Good 
160,4,vialuciogiuniocolumella,"2,854 reviews",Good 
162,4,vialesarca336bicocca,"3,511 reviews",Good 
163,4,vialefulviotesti300,"1,973 reviews",Very Good 
164,4,viagiorgiostephenson55,"1,789 reviews",Very Good 
165,4,viasenigallia6niguarda,"4,044 reviews",Good 
166,4,viaprivatapolonia10,959 reviews,Good 
167,4,viaveneziagiulia8,"2,327 reviews",Very Good 
168,4,viagaetanoairaghi125,"7,642 reviews",Pleasant 
169,4,viariccardolombardi9,576 reviews,Very Good 
170,5,viasilviopellico8,967 reviews,Very Good 
171,5,viatommasogrossi1,250 reviews,Wonderful 
173,5,corsoitalia10milan,"1,082 reviews",Excellent 
174,5,viaandegari9milan,228 reviews,Excellent 
175,5,viaprivatafratelligabba,209 reviews,Excellent 
176,5,viamanzoni29milan,279 reviews,Excellent 
177,5,largoaugusto10milan,"3,517 reviews",Very Good 
178,5,viages68,167 reviews,Excellent 
179,5,viamanzoni31milan,565 reviews,Excellent 
180,5,11corsoveneziamilan,,
181,5,21viadeigiardini,,
182,5,corsodiportanuova,226 reviews,Wonderful 
183,5,viadeamicis32,918 reviews,Good 
184,5,24viapalestromilan,18 reviews,Wonderful 
185,5,viatommasodacazzaniga,94 reviews,Excellent 
186,5,corsoconcordia1milan,"2,364 reviews",Excellent 
187,5,viabenvenutocellini14,454 reviews,Good 
188,5,piazzadellarepubblica13,729 reviews,Excellent 
189,5,piazzadellarepubblica20,807 reviews,Good 
190,5,piazzadellarepubblica17,992 reviews,Wonderful 
191,5,viaforcella6navigli,674 reviews,Wonderful 
192,5,viaemiliocornalia7,692 reviews,Very Good 
193,5,6viaaristotilefioravanti,"2,052 reviews",Excellent 
194,5,piazzaducadaosta,573 reviews,Excellent 
195,5,viamasaccio19fiera,"1,810 reviews",Very Good 
