,hotel_star,hotel_address,reviews_count,quality
0,,,,
1,4,11ruedutemple4tharr75004parisfrance,554 reviews,Very Good 
2,4,19ruedubourgtibourg4tharr75004parisfrance,207 reviews,Excellent 
3,4,ruesaintecroixdelabretonnerie4tharr75004parisfrance,17 reviews,Very Good 
4,4,58rueduroidesicile4tharr75004parisfrance,368 reviews,Excellent 
5,4,19ruederivoli4tharr75004parisfrance,566 reviews,Wonderful 
6,4,1ruesainteopportune1starr75001parisfrance,836 reviews,Good 
7,4,4ruedesinnocents1starr75001parisfrance,"2,616 reviews",Good 
8,4,15quaisaintmichel5tharr75005parisfrance,347 reviews,Wonderful 
9,4,8placemargueritedenavarre1starr75001parisfrance,"3,863 reviews",Excellent 
10,4,7ruedelhtelcolbert5tharr75005parisfrance,113 reviews,Excellent 
11,4,54ruesaintlouisenlile4tharr75004parisfrance,360 reviews,Very Good 
12,4,86ruesaintdenis1starr75001parisfrance,696 reviews,Very Good 
14,4,19ruedupontneuf1starr75001parisfrance,854 reviews,Wonderful 
15,4,3boulevardsaintmichel5tharr75005parisfrance,"1,307 reviews",Very Good 
16,4,9ruegitlecoeur6tharr75006parisfrance,890 reviews,Wonderful 
17,4,22ruedelaparcheminerie5tharr75005parisfrance,485 reviews,Wonderful 
18,4,36ruedugreniersaintlazare3rdarr75003parisfrance,579 reviews,Very Good 
19,4,17ruegtlecoeur6tharr75006parisfrance,253 reviews,Excellent 
20,4,26ruepierrelescot1starr75001parisfrance,976 reviews,Wonderful 
21,4,53terquaidesgrandsaugustins6tharr75006parisfrance,"2,660 reviews",Very Good 
22,4,10ruedormesson4tharr75004parisfrance,363 reviews,Wonderful 
23,4,48ruedelarbresec1starr75001parisfrance,"1,139 reviews",Very Good 
24,4,4ruedanton6tharr75006parisfrance,,
25,4,19ruedespretressaintgermainlauxerrois1starr75001parisfrance,794 reviews,Excellent 
26,4,64ruedelarbresec1starr75001parisfrance,174 reviews,Very Good 
27,4,21ruedesprtresstgermainlauxerrois1starr75001parisfrance,182 reviews,Very Good 
28,4,9ruedusommerard5tharr75005parisfrance,815 reviews,Wonderful 
29,4,20ruesaintpaul4tharr75004parisfrance,425 reviews,Excellent 
30,4,20ruedusommerard5tharr75005parisfrance,457 reviews,Very Good 
31,4,12ruedelamontagnesaintegenevive5tharr75005parisfrance,"1,262 reviews",Excellent 
32,4,32ruedesecoles5tharr75005parisfrance,"1,561 reviews",Good 
33,4,41ruedesecoles5tharr75005parisfrance,867 reviews,Very Good 
34,4,35ruedesecoles5tharr75005parisfrance,"1,396 reviews",Very Good 
35,4,2931ruedesecoles5tharr75005parisfrance,587 reviews,Very Good 
36,4,2931ruedepoitou3rdarr75003parisfrance,302 reviews,Wonderful 
37,4,50ruedesbernardins5tharr75005parisfrance,761 reviews,Excellent 
38,4,56ruedemontorgueil2ndarr75002parisfrance,464 reviews,Good 
40,4,2rueracine6tharr75006parisfrance,415 reviews,Good 
41,4,66ruesaintandrdesarts6tharr75006parisfrance,596 reviews,Excellent 
42,4,14ruecoquillire1starr75001parisfrance,453 reviews,Wonderful 
43,4,ruedeturenne3rdarr75003parisfrance,3 reviews,Pleasant 
44,4,16ruedesaintonge3rdarr75003parisfrance,433 reviews,Very Good 
45,4,14ruedelasorbonne5tharr75005parisfrance,303 reviews,Good 
46,4,243ruesaintmartin3rdarr75003parisfrance,492 reviews,Excellent 
47,4,8587ruedesarchives3rdarr75003parisfrance,335 reviews,Wonderful 
48,4,9ruegrgoiredetours6tharr75006parisfrance,457 reviews,Excellent 
49,4,9carrefourdelodon6tharr75006parisfrance,77 reviews,Excellent 
50,4,41boulevardsaintmichel5tharr75005parisfrance,460 reviews,Excellent 
51,4,39ruedeseine6tharr75006parisfrance,235 reviews,Good 
52,4,7rueduplican1starr75001parisfrance,305 reviews,Very Good 
53,4,2bisruecommines3rdarr75003parisfrance,286 reviews,Excellent 
54,4,1placedelasorbonne5tharr75005parisfrance,"1,364 reviews",Wonderful 
55,4,22ruedebuci6tharr75006parisfrance,210 reviews,Excellent 
56,4,2ruesaintsulpice6tharr75006parisfrance,196 reviews,Excellent 
57,4,43ruemonsieurleprince6tharr75006parisfrance,328 reviews,Excellent 
58,4,5ruedesarquebusiers3rdarr75003parisfrance,617 reviews,Good 
59,4,18ruebachaumont2ndarr75002parisfrance,260 reviews,Very Good 
60,4,28ruemonsieurleprince6tharr75006parisfrance,466 reviews,Wonderful 
61,4,7ruecasimirdelavigne6tharr75006parisfrance,431 reviews,Excellent 
62,4,1bisruedevaugirard6tharr75006parisfrance,"2,664 reviews",Good 
63,4,13ruesaintsulpice6tharr75006parisfrance,380 reviews,Good 
64,4,5placedelodon6tharr75006parisfrance,208 reviews,Very Good 
65,4,34ruedebuci6tharr75006parisfrance,424 reviews,Wonderful 
66,4,19ruecujas5tharr75005parisfrance,735 reviews,Very Good 
67,4,42ruecroixdespetitschamps1starr75001parisfrance,393 reviews,Very Good 
68,4,10ruedevaugirard6tharr75006parisfrance,548 reviews,Very Good 
69,4,15ruejacob6tharr75006parisfrance,555 reviews,Wonderful 
70,4,4ruesalomondecaus3rdarr75003parisfrance,945 reviews,Very Good 
71,4,123boulevardsbastopol2ndarr75002parisfrance,"1,204 reviews",Wonderful 
73,4,placeducaire2ndarr75002parisfrance,253 reviews,Wonderful 
74,4,8boulevardbeaumarchais11tharr75011parisfrance,590 reviews,Excellent 
75,4,ruemabillon6tharr75006parisfrance,1 review,Disappointing 
76,4,143boulevardsaintgermain6tharr75006parisfrance,441 reviews,Excellent 
77,4,19placedupanthon5tharr75005parisfrance,812 reviews,Excellent 
78,4,55ruemonge5tharr75005parisfrance,766 reviews,Wonderful 
79,4,13boulevarddutemple3rdarr75003parisfrance,882 reviews,Good 
80,4,112boulevarddesbastopol3rdarr75003parisfrance,"1,082 reviews",Very Good 
81,4,5tharr75005parisfrance,112 reviews,Very Good 
82,4,7boulevardbourdon4tharr75004parisfrance,230 reviews,Exceptional 
83,4,28ruesaintbenot6tharr75006parisfrance,11 reviews,Good 
85,4,22ruederichelieu1starr75001parisfrance,749 reviews,Excellent 
86,4,17ruederichelieu1starr75001parisfrance,639 reviews,Excellent 
87,4,153boulevardsaintgermain6tharr75006parisfrance,475 reviews,Very Good 
88,4,214ruesaintjacques5tharr75005parisfrance,416 reviews,Very Good 
89,4,98ruedeclery2ndarr75002parisfrance,535 reviews,Good 
90,4,3bisplacesaintsulpice6tharr75006parisfrance,402 reviews,Excellent 
91,4,5impasseroyercollard5tharr75005parisfrance,808 reviews,Wonderful 
92,4,10ruedevilleneuve2ndarr75002parisfrance,280 reviews,Good 
93,4,8ruedeverneuil7tharr75007parisfrance,497 reviews,Very Good 
94,4,21ruemolire1starr75001parisfrance,712 reviews,Wonderful 
95,4,42ruedevaugirard6tharr75006parisfrance,282 reviews,Wonderful 
96,4,5ruedemalte11tharr75011parisfrance,450 reviews,Wonderful 
97,4,50ruederichelieu1starr75001parisfrance,828 reviews,Very Good 
98,4,28ruedelille7tharr75007parisfrance,493 reviews,Excellent 
99,4,57ruethrse1starr75001parisfrance,652 reviews,Very Good 
100,4,32ruedessaintspres7tharr75007parisfrance,875 reviews,Excellent 
101,4,57ruerampon11tharr75011parisfrance,"1,061 reviews",Wonderful 
102,4,63ruederichelieu2ndarr75002parisfrance,"1,042 reviews",Wonderful 
103,4,10placedelarpublique11tharr75011parisfrance,"1,354 reviews",Good 
104,4,51ruedemalte11tharr75011parisfrance,923 reviews,Excellent 
105,4,11bisruemazagran10tharr75010parisfrance,"1,098 reviews",Good 
106,4,ruedufaubourgsaintantoine11tharr75011parisfrance,3 reviews,Good 
107,4,40ruedelille7tharr75007parisfrance,484 reviews,Excellent 
108,4,13ruejulescesar12tharr75012parisfrance,"1,259 reviews",Excellent 
109,4,6ruegustavegoublier10tharr75010parisfrance,"1,252 reviews",Very Good 
110,4,12rueduchteaudeau10tharr75010parisfrance,408 reviews,Excellent 
111,4,25ruedugrandprieur11tharr75011parisfrance,507 reviews,Very Good 
112,4,65ruedessaintspres6tharr75006parisfrance,267 reviews,Very Good 
113,4,15ruedespyramides1starr75001parisfrance,392 reviews,Very Good 
114,4,17boulevardpoissonnire2ndarr75002parisfrance,446 reviews,Excellent 
115,4,3rueabbdelepe5tharr75005parisfrance,683 reviews,Very Good 
116,4,ruedelchiquier10tharr75010parisfrance,3 reviews,Good 
118,4,38ruedelechiquier10tharr75010parisfrance,429 reviews,Excellent 
119,4,12ruesaintroch1starr75001parisfrance,366 reviews,Excellent 
120,4,12ruedelouvois2ndarr75002parisfrance,876 reviews,Excellent 
121,4,5ruesaintroch1starr75001parisfrance,"1,050 reviews",Excellent 
122,4,44ruemadame6tharr75006parisfrance,261 reviews,Very Good 
123,4,10ruecassette6tharr75006parisfrance,270 reviews,Wonderful 
124,4,107boulevardstmichel5tharr75005parisfrance,614 reviews,Very Good 
125,4,79ruepierrechausson10tharr75010parisfrance,849 reviews,Good 
126,4,31ruedelafoliemricourt11tharr75011parisfrance,788 reviews,Wonderful 
127,4,308ruesainthonor1starr75001parisfrance,431 reviews,Excellent 
128,4,2ruedegramont2ndarr75002parisfrance,948 reviews,Excellent 
129,4,1012ruedecharonne11tharr75011parisfrance,852 reviews,Very Good 
130,4,234ruedebercy12tharr75012parisfrance,636 reviews,Excellent 
131,4,3032boulevardpoissonnire9tharr75009parisfrance,"1,037 reviews",Very Good 
134,4,8citbergre9tharr75009parisfrance,"2,361 reviews",Excellent 
136,4,65ruemadame6tharr75006parisfrance,640 reviews,Wonderful 
137,4,4ruedespetitesecuries10tharr75010parisfrance,767 reviews,Good 
138,4,95ruederichelieu2ndarr75002parisfrance,60 reviews,Very Good 
139,4,4ruedalger1starr75001parisfrance,223 reviews,Excellent 
140,4,1115ruedelyon12tharr75012parisfrance,"1,961 reviews",Excellent 
142,4,39avenuedelopra2ndarr75002parisfrance,447 reviews,Excellent 
143,4,221ruesainthonoreangleruedalger1starr75001parisfrance,496 reviews,Very Good 
144,4,10ruegabriellaumain10tharr75010parisfrance,167 reviews,Excellent 
145,4,218ruederivoli1starr75001parisfrance,788 reviews,Very Good 
146,4,22ruegramont2ndarr75002parisfrance,966 reviews,Excellent 
147,4,5ruemarivaux2ndarr75002parisfrance,716 reviews,Wonderful 
148,4,7ruedetrevise9tharr75009parisfrance,66 reviews,Good 
149,4,35ruedumontthabor1starr75001parisfrance,301 reviews,Very Good 
150,4,5ruedemontyon9tharr75009parisfrance,710 reviews,Good 
151,4,2rueberthollet5tharr75005parisfrance,"1,646 reviews",Very Good 
152,4,22ruedespetitescuries10tharr75010parisfrance,"1,779 reviews",Wonderful 
153,4,9ruedelamichodire2ndarr75002parisfrance,"1,734 reviews",Very Good 
