,hotel_star,hotel_address,reviews_count,quality
0,,,,
1,4,singerstrae301innerestadt1010viennaaustria,"2,207 reviews",Very Good 
2,4,schulerstrae1001innerestadt1010viennaaustria,883 reviews,Wonderful 
3,4,schulerstrae1401innerestadt1010viennaaustria,"3,310 reviews",Excellent 
4,4,rotenturmstrae137stocktop2201innerestadt1010viennaaustria,213 reviews,Exceptional 
7,4,singerstrae212501innerestadt1010viennaaustria,807 reviews,Wonderful 
8,4,dorotheergasse301innerestadt1010viennaaustria,912 reviews,Very Good 
9,4,wildpretmarkt501innerestadt1010viennaaustria,886 reviews,Very Good 
10,4,krntnerstrae18eingangneuermarkt301innerestadt1010viennaaustria,"2,952 reviews",Excellent 
11,4,petersplatz901innerestadt1010viennaaustria,"1,251 reviews",Very Good 
12,4,kllnerhofgasse601innerestadt1010viennaaustria,493 reviews,Wonderful 
13,4,fleischmarkt1a01innerestadt1010viennaaustria,"1,668 reviews",Excellent 
14,4,desiderfriedmannplatz201innerestadt1010viennaaustria,945 reviews,Very Good 
15,4,marcodavianogasse101innerestadt1010viennaaustria,884 reviews,Very Good 
16,4,habsburgergasse501innerestadt1010viennaaustria,"1,958 reviews",Good 
17,4,fleischmarkt19laurenzerberg201innerestadt1010viennaaustria,"3,503 reviews",Very Good 
18,4,parkring1201innerestadt1010viennaaustria,"1,163 reviews",Excellent 
19,4,hafnersteig701innerestadt1010viennaaustria,863 reviews,Very Good 
20,4,krntnerstrae3234eingangfhrichgasse101innerestadt1010viennaaustria,"1,163 reviews",Excellent 
21,4,josefsplatz62teetage01innerestadt1010viennaaustria,805 reviews,Good 
22,4,vorlaufstrae301innerestadt1010viennaaustria,516 reviews,Excellent 
23,4,schwedenplatz3401innerestadt1010viennaaustria,747 reviews,Wonderful 
24,4,annagasse1601innerestadt1010viennaaustria,974 reviews,Excellent 
25,4,tiefergraben142001innerestadt1010viennaaustria,"3,794 reviews",Excellent 
26,4,herrengasse1201innerestadt1010viennaaustria,"2,517 reviews",Excellent 
27,4,rudolfsplatz1101innerestadt1010viennaaustria,"1,783 reviews",Very Good 
28,4,schubertring1101innerestadt1010viennaaustria,"1,832 reviews",Very Good 
29,4,taborstrae8a02leopoldstadt1020viennaaustria,780 reviews,Excellent 
30,4,uraniastrae201innerestadt1010viennaaustria,"3,213 reviews",Very Good 
31,4,opernring1101innerestadt1010viennaaustria,765 reviews,Excellent 
32,4,hollandstrae302leopoldstadt1020viennaaustria,"2,254 reviews",Very Good 
33,4,krntnerstrae4401innerestadt1010viennaaustria,856 reviews,Excellent 
34,4,taborstrae1202leopoldstadt1020viennaaustria,"2,163 reviews",Wonderful 
35,4,karlsplatz12stockpostkasten2701innerestadt1010viennaaustria,560 reviews,Very Good 
36,4,amheumarkt03landstrae1030viennaaustria,7 reviews,Wonderful 
37,4,salesianergasse203landstrae1030viennaaustria,"1,069 reviews",Excellent 
39,4,amheumarkt353703landstrae1030viennaaustria,"1,334 reviews",Excellent 
40,4,oberedonaustrasse6102leopoldstadt1020viennaaustria,"2,502 reviews",Excellent 
42,4,getreidemarkt506mariahilf1060viennaaustria,"1,743 reviews",Very Good 
43,4,taborstrasse2502leopoldstadt1020viennaaustria,"2,381 reviews",Good 
44,4,papagenogasse606mariahilf1060viennaaustria,"1,150 reviews",Wonderful 
45,4,landstraerhauptstrae2803landstrae1030viennaaustria,"2,191 reviews",Very Good 
46,4,praterstrae4402leopoldstadt1020viennaaustria,"1,583 reviews",Wonderful 
47,4,rotensterngasse7a02leopoldstadt1020viennaaustria,"1,802 reviews",Very Good 
48,4,rotensterngasse1002leopoldstadt1020viennaaustria,"5,823 reviews",Excellent 
49,4,frankenberggasse1004wieden1040viennaaustria,"1,095 reviews",Wonderful 
50,4,rilkeplatz704wieden1040viennaaustria,350 reviews,Excellent 
51,4,14radetzkystrae03landstrae1030viennaaustria,95 reviews,Wonderful 
52,4,marxergasse1703landstrae1030viennaaustria,871 reviews,Very Good 
53,4,29neulinggasse03landstrae1030viennaaustria,17 reviews,Good 
54,4,6girardigasse06mariahilf1060viennaaustria,759 reviews,Wonderful 
55,4,mariahilferstrae1506mariahilf1060viennaaustria,534 reviews,Exceptional 
56,4,45landstraerhauptstrae03landstrae1030viennaaustria,147 reviews,Very Good 
57,4,breitegasse907neubau1070viennaaustria,861 reviews,Excellent 
58,4,rathausstrae1701innerestadt1010viennaaustria,"3,125 reviews",Very Good 
61,4,whringerstrae1209alsergrund1090viennaaustria,"1,504 reviews",Good 
62,4,kirchberggasse607neubau1070viennaaustria,"4,104 reviews",Excellent 
63,4,rechtewienzeile04wieden1040viennaaustria,27 reviews,Very Good 
64,4,21auerspergstrae08josefstadt1080viennaaustria,392 reviews,Very Good 
65,4,lerchenfelderstrae1307neubau1070viennaaustria,"2,247 reviews",Excellent 
66,4,josefsgasse4608josefstadt1080viennaaustria,"3,897 reviews",Excellent 
67,4,josefstdterstrae101208josefstadt1080viennaaustria,"4,122 reviews",Excellent 
68,4,favoritenstrae1204wieden1040viennaaustria,"1,363 reviews",Excellent 
69,4,grnentorgasse3209alsergrund1090viennaaustria,54 reviews,Very Good 
70,4,wiednerhauptstr272904wieden1040viennaaustria,"1,376 reviews",Wonderful 
71,4,rennweg1203landstrae1030viennaaustria,"1,483 reviews",Excellent 
72,4,rennweg12a03landstrae1030viennaaustria,"2,390 reviews",Very Good 
73,4,langegasse1308josefstadt1080viennaaustria,442 reviews,Excellent 
74,4,kleinestadtgutgasse402leopoldstadt1020viennaaustria,"1,709 reviews",Wonderful 
75,4,groestadtgutgasse3102leopoldstadt1020viennaaustria,"1,503 reviews",Very Good 
76,4,windmhlgasse06mariahilf1060viennaaustria,8 reviews,Very Good 
77,4,harmoniegasse5709alsergrund1090viennaaustria,"1,103 reviews",Wonderful 
78,4,rennweg1603landstrae1030viennaaustria,"1,788 reviews",Wonderful 
79,4,josefstdterstrae2208josefstadt1080viennaaustria,753 reviews,Very Good 
80,4,mariahilferstrae323407neubau1070viennaaustria,"2,193 reviews",Very Good 
81,4,kirchengasse4107neubau1070viennaaustria,685 reviews,Wonderful 
82,4,wiednerhauptstrae4404wieden1040viennaaustria,"3,462 reviews",Very Good 
83,4,laudongasse808josefstadt1080viennaaustria,"3,281 reviews",Excellent 
84,4,hainburgerstrae1903landstrae1030viennaaustria,753 reviews,Wonderful 
85,4,lindengasse1207neubau1070viennaaustria,970 reviews,Excellent 
86,4,windmhlgasse2806mariahilf1060viennaaustria,"1,841 reviews",Wonderful 
87,4,alserstrae2108josefstadt1080viennaaustria,"1,482 reviews",Pleasant 
89,4,mariahilferstrae575906mariahilf1060viennaaustria,880 reviews,Very Good 
90,4,whringerstrae333509alsergrund1090viennaaustria,"3,237 reviews",Very Good 
91,4,pasteurgasse109alsergrund1090viennaaustria,"1,719 reviews",Good 
92,4,mariahilferstrae5807neubau1070viennaaustria,"1,086 reviews",Wonderful 
93,4,messenhausergasse03landstrae1030viennaaustria,,
